관리기관명,발급기명,설치장소주소,설치장소상세위치,위도,경도,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각
제주특별자치도 서귀포시,마라도가는여객선,제주특별자치도 서귀포시 대정읍 송악관광로 424[제주특별자치도 서귀포시 대정읍 상모리133번지 2호],마라도가는여객선 터마널 내,33.20739831,126.2905198,8:00,18:00,8:00,18:00
제주특별자치도 서귀포시,모슬포항,"제주특별자치도 서귀포시 대정읍 최남단해안로 120, 모슬포항 여객선대합실",여객터미널내 대합실,33.21006508,126.2583798,9:00,18:00,9:00,18:00
제주특별자치도 서귀포시,대정읍사무소2 KIOSK,"제주특별자치도 서귀포시 대정읍 하모중앙로 20, 대정읍사무소",민원실입구,33.22650565,126.251917,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,중문농협 강정지점,제주특별자치도 서귀포시 이어도로 594 (강정동),농협 안,33.235395,126.4800556,6:00,24:00:00,6:00,24:00:00
제주특별자치도 서귀포시,서귀포항 잠수함대합실,제주특별자치도 서귀포시 남성중로 40(서귀동),서귀포항 잠수함 대합실,33.23920117,126.5584239,9:00,18:00,9:00,18:00
제주특별자치도 서귀포시,서귀포농협 법환지점,제주특별자치도 서귀포시 이어도로 965(법환동),창구 내부,33.24060859,126.5160781,6:00,24:00:00,6:00,24:00:00
제주특별자치도 서귀포시,제주국제컨벤션센터KIOSK,제주특별자치도 서귀포시 중문관광로 224(중문동),제주국제컨벤션센터,33.24128964,126.4244429,9:00,21:00,9:00,21:00
제주특별자치도 서귀포시,안덕농협,"제주특별자치도 서귀포시 안덕면 화순로 104, 안덕농협",안덕농협 내,33.24679861,126.3351893,6:00,24:00:00,6:00,24:00:00
제주특별자치도 서귀포시,대륜동주민센터,제주특별자치도 서귀포시 일주동로 9185(법환동),민원실,33.24818748,126.5111842,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,서귀포축협신시가지점,제주특별자치도 서귀포시 서호남로 65(서호동),ATM기기 옆,33.25041292,126.5195488,6:00,23:50,6:00,23:50
제주특별자치도 서귀포시,대천동주민센터,제주특별자치도 서귀포시 도순로 44(도순동),주민센터 앞,33.25076206,126.4775399,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,중문농협,"제주특별자치도 서귀포시 천제연로 199, 중문농협 (중문동)",창구 내부,33.25184636,126.4260574,6:00,24:00:00,6:00,24:00:00
제주특별자치도 서귀포시,서귀포시청 KIOSK,제주특별자치도 서귀포시 중앙로 105(서홍동),안내데스크 옆,33.25395471,126.5595883,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,제주은행KIOSK 동홍지점,"제주특별자치도 서귀포시 일주동로 8560, 1층 (동홍동)",제주은행,33.25505894,126.573583,6:00,23:00,6:00,23:00
제주특별자치도 서귀포시,제주세무서 서귀포지서(구시청2청사) KIOSK,제주특별자치도 서귀포시 신중로 55(법환동),동쪽 입구,33.25558176,126.5105274,9:00,18:00,,
제주특별자치도 서귀포시,서귀포농협 서부지점,"제주특별자치도 서귀포시 서호호근로 96, 서귀포시농협 서부지소 (호근동)",창구 입구,33.25589566,126.524553,6:00,24:00:00,6:00,24:00:00
제주특별자치도 서귀포시,제주특별자치도 서귀포의료원,"제주특별자치도 서귀포시 장수로 47, 서귀포의료원 (동홍동)",1층 안내데스크 옆,33.25598099,126.5629489,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,안덕면_무인 KIOSK,제주특별자치도 서귀포시 안덕면 화순서서로 74,안덕면사무소,33.25758153,126.3306244,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,동홍동주민센터 KIOSK,제주특별자치도 서귀포시 동홍로 104(동홍동),민원실,33.25785315,126.5689194,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,영천동 주민센터,"제주특별자치도 서귀포시 토평로 15, 영천동주민센터 (토평동)",현관 우측 옥외부스,33.26876029,126.5866437,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,남원읍 위미문화의집,"제주특별자치도 서귀포시 남원읍 태위로 105, 위미문화의집",위미문화의 집 내,33.27501048,126.6585881,0:00,24:00:00,,
제주특별자치도 서귀포시,남원읍_무인 KIOSK,제주특별자치도 서귀포시 남원읍 태위로 695[제주특별자치도 서귀포시 남원읍 남원리205번지 1호],남원읍사무소,33.2798959,126.720677,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,남원읍사무소2 KIOSK,"제주특별자치도 서귀포시 남원읍 태위로 695, 남원읍사무소",읍사무소 입구,33.2798959,126.720677,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,대정영어교육도시내(대정읍 이동민원실),제주특별자치도 서귀포시 대정읍 에듀시티로 86,대정영어교육도시내 대정읍 이동민원실 입구,33.28794236,126.2818297,0:00,24:00:00,0:00,24:00:00
제주특별자치도 제주시,한경면 고산이동민원실 ,"제주특별자치도 제주시 한경면 칠전로 37, 한경면 고산이동민원실",민원실 입구,33.30047583,126.1837079,0:00,24:00:00,0:00,24:00:00
제주특별자치도 서귀포시,표선면사무소 KIOSK,제주특별자치도 서귀포시 표선면 표선중앙로 74,표선면사무소,33.32668806,126.8310427,0:00,24:00:00,0:00,24:00:00
제주특별자치도 제주시,한경면사무소,제주특별자치도 제주시 한경면 두신로 84,한경면사무소 입구 우측,33.35011052,126.184105,0:00,24:00:00,0:00,24:00:00
